Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_154,LinearSCVI_10,Logistic,0.9709125085440875,0.7168441352951191,0.974025974025974,0.5415162454873647,0.6960556844547565
naiveB_1900_memoryB_154,LinearSCVI_10,SVM,0.9713294600136706,0.7152878411527201,0.9545454545454546,0.5951417004048583,0.7331670822942643
naiveB_1900_memoryB_154,LinearSCVI_25,Logistic,0.9642002734107997,0.7133497975514854,0.961038961038961,0.550185873605948,0.6997635933806146
naiveB_1900_memoryB_154,LinearSCVI_25,SVM,0.9638858509911141,0.7075047428481539,0.948051948051948,0.5680933852140078,0.7104622871046228
naiveB_1900_memoryB_154,LinearSCVI_50,Logistic,0.949958988380041,0.6371450898519658,0.9675324675324676,0.382051282051282,0.5477941176470588
naiveB_1900_memoryB_154,LinearSCVI_50,SVM,0.9331613123718386,0.56046544041267,0.948051948051948,0.34515366430260047,0.5060658578856152
naiveB_1900_memoryB_154,PCA,Logistic,0.950369104579631,0.655823353653525,0.8961038961038961,0.5168539325842697,0.655581947743468
naiveB_1900_memoryB_154,PCA,Mixscape,0.5,0.07497565725413827,1.0,0.14995131450827653,0.26079593564775616
naiveB_1900_memoryB_154,PCA,SVM,0.941701982228298,0.6088136048490072,0.8896103896103896,0.48928571428571427,0.631336405529954
naiveB_1900_memoryB_154,SCVI_10,Logistic,0.9331578947368422,0.5284640360701052,0.9545454545454546,0.4049586776859504,0.5686653771760154
naiveB_1900_memoryB_154,SCVI_10,SVM,0.929553998632946,0.5143559069102226,0.9415584415584416,0.403899721448468,0.5653021442495126
naiveB_1900_memoryB_154,SCVI_25,Logistic,0.9295762132604238,0.584321192593993,0.9415584415584416,0.3795811518324607,0.541044776119403
naiveB_1900_memoryB_154,SCVI_25,SVM,0.9191353383458648,0.5476474972279374,0.9285714285714286,0.3743455497382199,0.5335820895522387
naiveB_1900_memoryB_154,SCVI_50,Logistic,0.9258133971291866,0.5670577217537186,0.948051948051948,0.34352941176470586,0.5043177892918825
naiveB_1900_memoryB_154,SCVI_50,SVM,0.9088277511961722,0.5164724938077793,0.9090909090909091,0.3211009174311927,0.47457627118644075
