,exp_name,True labels,Compare_labels,info,precision,recall,fdr,f1_score
0,naiveB_1900_memoryB_211,Naive B/Memory B,Control/Case,,1.0,0.028846153846153848,0.0,0.05607476635514019
1,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,LinearSCVI_10_linear,0.7307692307692307,0.9134615384615384,0.2692307692307692,0.8119658119658119
2,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,LinearSCVI_10_svm,0.7111111111111111,0.9230769230769231,0.28888888888888886,0.8033472803347281
3,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,LinearSCVI_25_linear,0.7833333333333333,0.9038461538461539,0.21666666666666667,0.8392857142857143
4,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,LinearSCVI_25_svm,0.7578125,0.9326923076923077,0.2421875,0.8362068965517242
5,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,LinearSCVI_50_linear,0.7767857142857143,0.8365384615384616,0.22321428571428573,0.8055555555555556
6,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,LinearSCVI_50_svm,0.7927927927927928,0.8461538461538461,0.2072072072072072,0.8186046511627907
7,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,PCA_linear,0.765625,0.9423076923076923,0.234375,0.8448275862068965
8,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,PCA_svm,0.7333333333333333,0.9519230769230769,0.26666666666666666,0.8284518828451883
9,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,SCVI_10_linear,0.872093023255814,0.7211538461538461,0.12790697674418605,0.7894736842105264
10,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,SCVI_10_svm,0.8279569892473119,0.7403846153846154,0.17204301075268819,0.7817258883248731
11,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,SCVI_25_linear,0.8316831683168316,0.8076923076923077,0.16831683168316833,0.8195121951219512
12,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,SCVI_25_svm,0.8217821782178217,0.7980769230769231,0.1782178217821782,0.8097560975609756
13,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,SCVI_50_linear,0.8651685393258427,0.7403846153846154,0.1348314606741573,0.7979274611398964
14,naiveB_1900_memoryB_211,Naive B/Memory B,Refined labels,SCVI_50_svm,0.8717948717948718,0.6538461538461539,0.1282051282051282,0.7472527472527474
